City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ust-nera,64.5667,143.2,-6.42,92,100,1.13,RU,1713892598
83,port mathurin,-19.6833,63.4167,27.13,77,83,7.61,MU,1713892598
84,dwarka,22.2394,68.9678,26.52,80,0,5.64,IN,1713892598
85,coquimbo,-29.9533,-71.3436,18.22,73,3,1.94,CL,1713892288
86,bamboo flat,11.7,92.7167,29.05,84,20,1.03,IN,1713892598
87,yeppoon,-23.1333,150.7333,18.88,89,0,4.76,AU,1713892598
88,fuglafjordur,62.244,-6.814,6.26,72,20,5.2,FO,1713892598
89,invercargill,-46.4,168.35,13.9,81,100,1.34,NZ,1713892599
90,petropavlovsk-kamchatsky,53.0452,158.6483,2.1,85,0,2.0,RU,1713892599
91,monrovia,6.3005,-10.7969,32.87,74,84,5.42,LR,1713892599
92,aasiaat,68.7098,-52.8699,5.11,74,86,7.86,GL,1713892599
93,puerto natales,-51.7236,-72.4875,11.25,46,75,10.8,CL,1713892291
94,thinadhoo,0.5333,72.9333,29.35,76,100,5.77,MV,1713892599
95,palmer,42.1584,-72.3287,18.8,27,20,7.2,US,1713892575
96,el rama,12.1596,-84.2195,33.65,43,67,3.78,NI,1713892599
97,blackmans bay,-43.0167,147.3167,9.07,91,100,8.29,AU,1713892599
98,newquay,50.4132,-5.0819,12.24,82,40,7.72,GB,1713892599
99,khuzdar,27.7384,66.6434,24.93,17,3,1.11,PK,1713892600
100,tshikapa,-6.4167,20.8,26.81,70,100,1.17,CD,1713892046
101,hasaki,35.7333,140.8333,15.22,66,100,5.8,JP,1713892094
102,albany,42.6001,-73.9662,19.77,26,11,3.13,US,1713892600
103,la mira,18.035,-102.3266,30.98,28,81,3.58,MX,1713892600
104,kalmunai,7.4167,81.8167,28.08,79,92,3.31,LK,1713892600
105,longyearbyen,78.2186,15.6401,-1.09,69,20,2.57,SJ,1713892600
106,margaret river,-33.95,115.0667,10.87,67,62,5.1,AU,1713892600
107,ocean shores,46.9737,-124.1563,14.42,74,0,2.06,US,1713892509
108,axim,4.8699,-2.2405,29.42,72,97,2.77,GH,1713892043
109,toledo,39.8333,-4.0,17.27,32,24,4.35,ES,1713892174
110,stanley,54.868,-1.6985,8.77,66,20,4.63,GB,1713892601
111,siwa oasis,29.2041,25.5195,35.77,5,37,4.01,EG,1713892046
112,salalah,17.0151,54.0924,29.05,74,40,3.09,OM,1713892473
113,alakurtti,66.9672,30.3491,-0.8,98,100,4.59,RU,1713892601
114,sovetskaya gavan',48.9723,140.2878,3.95,84,80,3.14,RU,1713892601
115,hilo,19.7297,-155.09,22.93,95,100,0.0,US,1713892322
116,hithadhoo,-0.6,73.0833,27.98,79,100,4.09,MV,1713892601
117,vila franca do campo,37.7167,-25.4333,19.23,99,43,4.59,PT,1713892602
118,avarua,-21.2078,-159.775,20.03,100,56,1.03,CK,1713892602
119,nadi,-17.8,177.4167,24.0,94,20,1.54,FJ,1713892602
120,al hoceima,35.2433,-3.9309,19.57,64,20,3.6,MA,1713892602
121,sitka,57.0531,-135.33,9.94,53,75,4.63,US,1713892602
122,yellowknife,62.456,-114.3525,-0.33,82,75,3.09,CA,1713892602
123,menongue,-14.6585,17.691,20.86,45,100,1.91,AO,1713892602
124,slavgorod,52.9978,78.6449,2.09,42,58,3.86,RU,1713892602
125,bredasdorp,-34.5322,20.0403,17.23,88,99,1.99,ZA,1713892303
126,brookings,44.3114,-96.7984,13.19,50,40,9.77,US,1713892303
127,labrador city,52.9463,-66.9114,-8.23,75,100,4.92,CA,1713892512
128,ambovombe,-25.1667,46.0833,22.46,80,38,6.77,MG,1713892605
129,hermanus,-34.4187,19.2345,16.58,89,100,0.99,ZA,1713892605
130,ancud,-41.8697,-73.8203,12.07,59,53,2.24,CL,1713892583
131,kidal,18.4411,1.4078,40.39,8,4,5.04,ML,1713892605
132,sao domingos do maranhao,-5.5758,-44.3853,28.48,81,98,1.28,BR,1713892309
133,labytnangi,66.6572,66.4183,-10.35,92,95,1.98,RU,1713892605
134,uturoa,-16.7333,-151.4333,27.73,77,9,1.3,PF,1713892605
135,sept-iles,50.2001,-66.3821,0.59,68,20,6.17,CA,1713892607
136,hamilton,39.1834,-84.5333,18.69,44,0,9.26,US,1713892488
137,kostanay,53.1667,63.5833,10.16,71,0,8.0,KZ,1713892312
138,isafjordur,66.0755,-23.124,6.02,81,75,1.54,IS,1713892312
139,taoudenni,22.6783,-3.9836,38.57,7,58,5.1,ML,1713892312
140,walvis bay,-22.9575,14.5053,18.22,74,19,8.04,NA,1713892609
141,pueblo nuevo,23.3833,-105.3833,22.67,13,7,2.94,MX,1713892644
142,mindelo,16.8901,-24.9804,25.75,53,75,5.14,CV,1713892644
143,smithers,54.7804,-127.1743,8.18,42,75,4.63,CA,1713892644
144,gagliano del capo,39.8442,18.3695,16.36,77,0,3.09,IT,1713892645
145,malvik,63.4333,10.6833,5.77,74,75,6.69,NO,1713892646
146,botosani,47.75,26.6667,11.47,75,100,2.24,RO,1713892114
147,upper sandusky,40.8273,-83.2813,16.11,57,100,8.97,US,1713892646
148,bezhetsk,57.7851,36.6965,6.21,71,100,4.51,RU,1713892646
149,dudinka,69.4058,86.1778,-10.74,87,83,6.26,RU,1713892590
150,hancheng,32.5186,112.3522,15.5,47,100,3.14,CN,1713892240
151,severo-yeniseyskiy,60.3725,93.0408,-2.46,91,100,3.58,RU,1713892646
152,umm kaddadah,13.6017,26.6876,32.71,7,0,5.66,SD,1713892647
153,georgetown,5.4112,100.3354,29.97,84,20,1.03,MY,1713892511
154,mahajanga,-15.7167,46.3167,28.96,67,31,3.59,MG,1713892647
155,suwayr,30.1171,40.3893,29.52,12,2,4.06,SA,1713892650
156,fort bragg,35.139,-79.006,20.91,35,0,3.6,US,1713892650
157,dakhla,23.6848,-15.958,21.01,73,100,9.26,EH,1713892650
158,port alfred,-33.5906,26.891,19.54,93,79,0.45,ZA,1713892650
159,atafu village,-8.5421,-172.5159,29.24,76,73,3.21,TK,1713892650
160,lihue,21.9789,-159.3672,23.03,73,75,6.69,US,1713892652
161,grants,35.1473,-107.8514,21.13,13,0,1.54,US,1713892653
162,port saint john's,-31.6229,29.5448,22.38,83,81,3.82,ZA,1713892655
163,calchaqui,-29.8877,-60.287,20.42,95,100,6.47,AR,1713892655
164,boundiali,9.5217,-6.4869,35.31,31,55,2.59,CI,1713892655
165,gambela,8.25,34.5833,33.07,29,51,1.75,ET,1713892655
166,cidreira,-30.1811,-50.2056,24.74,75,76,3.64,BR,1713892655
167,miranda,3.2499,-76.2281,27.07,68,99,2.34,CO,1713892655
168,portland,45.5234,-122.6762,18.92,43,75,2.68,US,1713892365
169,utrik,11.2278,169.8474,26.82,86,71,9.94,MH,1713892656
170,bikenibeu village,1.3673,173.1241,27.98,83,20,5.14,KI,1713892656
171,ta`u,-14.2336,-169.5144,28.82,73,85,4.51,AS,1713892656
172,novodvinsk,64.4165,40.8122,2.1,97,100,4.01,RU,1713891988
173,beinamar,8.6698,15.3813,34.67,29,77,1.69,TD,1713892656
174,whitehorse,60.7161,-135.0538,2.43,59,75,1.03,CA,1713892656
175,susuman,62.7833,148.1667,-8.34,95,100,1.34,RU,1713892656
176,xilin hot,43.9667,116.0333,9.85,23,3,6.6,CN,1713892656
177,cockburn town,21.4612,-71.1419,25.7,77,2,4.06,TC,1713892656
178,rundu,-17.9333,19.7667,24.07,20,26,2.84,NA,1713892656
179,gereida,11.2811,25.1414,35.83,8,6,4.25,SD,1713892657
180,thompson,55.7435,-97.8558,-7.91,41,0,2.57,CA,1713892657
181,pariaman,-0.619,100.12,27.03,93,100,3.85,ID,1713892657
182,khandyga,62.6667,135.6,0.6,87,96,2.35,RU,1713892657
183,zeya,53.75,127.2667,5.83,83,92,1.96,RU,1713892657
184,chernyshevskiy,63.0128,112.4714,-2.73,95,91,3.2,RU,1713892657
185,codrington,-38.2667,141.9667,12.03,66,82,9.04,AU,1713892657
186,maua,-23.6678,-46.4614,30.2,42,6,2.34,BR,1713892658
187,tiksi,71.6872,128.8694,-11.38,95,100,3.73,RU,1713892658
188,balakliya,49.4627,36.8595,9.83,68,8,3.51,UA,1713892658
189,chillicothe,39.3331,-82.9824,20.03,31,0,6.69,US,1713892280
190,brumunddal,60.881,10.9395,5.56,62,97,2.11,NO,1713892658
191,mariinsk,56.2139,87.7472,-6.74,62,89,3.13,RU,1713892658
192,montagu,-40.7667,144.9667,9.81,82,100,11.11,AU,1713892658
193,yelovo,57.0538,54.9207,14.4,73,11,7.73,RU,1713892658
194,qaqortoq,60.7167,-46.0333,4.85,77,100,1.94,GL,1713892659
195,iskateley,67.6803,53.1512,-13.32,84,7,3.58,RU,1713892659
196,udachny,66.4167,112.4,-4.75,95,70,3.76,RU,1713892659
197,bubaque,11.2833,-15.8333,25.35,71,57,7.67,GW,1713892241
198,uacu cungo,-11.3634,15.1208,21.56,70,100,0.38,AO,1713892659
199,juan griego,11.0817,-63.9655,31.02,61,1,5.78,VE,1713892660
200,spring creek,40.7266,-115.5859,14.28,58,100,2.24,US,1713892660
201,ribeira grande,38.5167,-28.7,20.22,64,20,7.6,PT,1713892660
202,oppdal,62.5943,9.6912,0.23,93,100,4.11,NO,1713892660
203,jalingo,8.8833,11.3667,38.07,25,49,2.01,NG,1713892660
204,papatowai,-46.5619,169.4708,13.54,81,100,4.88,NZ,1713892660
205,hadibu,12.65,54.0333,28.92,74,29,2.3,YE,1713892660
206,mahabad,36.7631,45.7222,13.84,54,22,1.95,IR,1713892660
207,antonio enes,-16.2325,39.9086,25.8,74,6,3.85,MZ,1713892229
208,keflavik,64.0049,-22.5624,10.95,76,100,3.6,IS,1713892661
209,la plata,-34.9215,-57.9545,20.46,59,17,5.3,AR,1713891993
